code;libelle;level;parentCode;isLeaf;pathCodes
N1;Certaines maladies infectieuses ou parasitaires;L1;;False;N1
N2;Tumeurs;L1;;False;N2
N3;Maladies du sang ou des organes hématopoïétiques;L1;;False;N3
N4;Maladies du système immunitaire;L1;;False;N4
N5;Maladies endocriniennes, nutritionnelles ou métaboliques;L1;;False;N5
N6;Troubles mentaux, comportementaux ou neurodéveloppementaux;L1;;False;N6
N7;Troubles du cycle veille-sommeil;L1;;False;N7
N8;Maladies du système nerveux;L1;;False;N8
N9;Maladies de l'appareil visuel;L1;;False;N9
N10;Maladies de l'oreille ou de l'apophyse mastoïde;L1;;False;N10
N11;Maladies de l'appareil circulatoire;L1;;False;N11
N12;Maladies de l'appareil respiratoire;L1;;False;N12
N13;Maladies de l'appareil digestif;L1;;False;N13
N14;Maladies de la peau;L1;;False;N14
N15;Maladies du système musculosquelettique ou du tissu conjonctif;L1;;False;N15
N16;Maladies de l'appareil génito-urinaire;L1;;False;N16
N17;Affections liées à la santé sexuelle;L1;;False;N17
N18;Grossesse, accouchement ou puerpéralité;L1;;False;N18
N19;Certaines affections dont l'origine se situe dans la période périnatale;L1;;False;N19
N20;Anomalies du développement;L1;;False;N20
N21;Symptômes, signes ou résultats d'examen clinique, non classés ailleurs;L1;;False;N21
BlockL1-1A0;Gastroentérite ou colite d'origine infectieuse;L2;N1;TRUE;N1 | BlockL1-1A0
BlockL1-1A6;Infections transmissibles principalement par voie sexuelle;L2;N1;FALSE;N1 | BlockL1-1A6
BlockL1-1B1;Maladies mycobactériennes;L2;N1;FALSE;N1 | BlockL1-1B1
BlockL1-1B4;Certaines maladies à staphylocoques ou à streptocoques;L2;N1;FALSE;N1 | BlockL1-1B4
BlockL1-1B7;Infections bactériennes pyogènes de la peau ou des tissus souscutanés;L2;N1;TRUE;N1 | BlockL1-1B7
BlockL1-1B9;Certaines anthropozoonoses bactériennes précisées;L2;N1;TRUE;N1 | BlockL1-1B9
BlockL1-1C1;Autres maladies bactériennes;L2;N1;FALSE;N1 | BlockL1-1C1
BlockL1-1C6;Maladie du virus de l'immunodéficience humaine;L2;N1;TRUE;N1 | BlockL1-1C6
BlockL1-1C8;Infections virales du système nerveux central;L2;N1;TRUE;N1 | BlockL1-1C8
BlockL1-1D0;Infections non-virales et non précisées du système nerveux central;L2;N1;TRUE;N1 | BlockL1-1D0
BlockL1-1D2;Dengue;L2;N1;TRUE;N1 | BlockL1-1D2
BlockL1-1D4;Certaines fièvres virales transmises par des arthropodes;L2;N1;TRUE;N1 | BlockL1-1D4
BlockL1-1D6;Certaines maladies zoonotiques virales;L2;N1;TRUE;N1 | BlockL1-1D6
BlockL1-1D8;Certaines autres maladies virales;L2;N1;FALSE;N1 | BlockL1-1D8
BlockL1-1E3;Grippe;L2;N1;TRUE;N1 | BlockL1-1E3
BlockL1-1E5;Hépatite virale;L2;N1;TRUE;N1 | BlockL1-1E5
BlockL1-1E7;Infections virales caractérisées par des lésions cutanées ou muqueuses;L2;N1;FALSE;N1 | BlockL1-1E7
BlockL1-1F2;Mycoses;L2;N1;TRUE;N1 | BlockL1-1F2
BlockL1-1F4;Maladies parasitaires;L2;N1;FALSE;N1 | BlockL1-1F4
BlockL1-1G4;Sepsis;L2;N1;TRUE;N1 | BlockL1-1G4
BlockL1-1G8;Séquelles de maladies infectieuses;L2;N1;TRUE;N1 | BlockL1-1G8
BlockL1-2A0;Tumeurs du système nerveux central ou des structures apparentées;L2;N2;FALSE;N2 | BlockL1-2A0
BlockL1-2A2;Tumeurs de tissus hématopoïétiques ou lymphoïdes;L2;N2;FALSE;N2 | BlockL1-2A2
BlockL1-2B5;Tumeurs malignes, à l'exception des tumeurs primitives des tissus lymphoïdes, hématopoïétiques, du système nerveux central ou ses tissus connexes;L2;N2;FALSE;N2 | BlockL1-2B5
BlockL1-2E6;Tumeurs in situ, à l'exception des tissus lymphoïdes, hématopoïétiques, du système nerveux central ou des tissus apparentés;L2;N2;FALSE;N2 | BlockL1-2E6
BlockL1-2E8;Tumeurs bénignes, à l'exception des tissus lymphoïdes, hématopoïétiques, du système nerveux central ou des tissus apparentés;L2;N2;FALSE;N2 | BlockL1-2E8
BlockL1-2F7;Tumeurs à évolution imprévisible, à l'exception des tissus lymphoïdes, hématopoïétiques, du système nerveux central ou des tissus apparentés;L2;N2;TRUE;N2 | BlockL1-2F7
BlockL1-2F9;Tumeurs à évolution inconnue, à l'exception des tissus lymphoïdes, hématopoïétiques, du système nerveux central ou des tissus apparentés;L2;N2;TRUE;N2 | BlockL1-2F9
BlockL1-3A0;Anémies ou autres troubles érythrocytaires;L2;N3;FALSE;N3 | BlockL1-3A0
BlockL1-3B1;Troubles de la coagulation, purpura ou autres affections hémorragiques ou apparentées;L2;N3;FALSE;N3 | BlockL1-3B1
BlockL1-3B8;Maladies de la rate;L2;N3;FALSE;N3 | BlockL1-3B8
N3-4;Autres maladies du sang ou des organes hématopoïétiques précisées;L2;N3;TRUE;N3 | N3-4
N3-5;Maladies du sang ou des organes hématopoïétiques, sans précision;L2;N3;TRUE;N3 | N3-5
BlockL1-4A0;Déficits immunitaires primitifs;L2;N4;FALSE;N4 | BlockL1-4A0
N4-2;Déficits immunitaires acquis;L2;N4;FALSE;N4 | N4-2
BlockL1-4A4;Maladies auto-immunes systémiques non spécifiques d'organe;L2;N4;FALSE;N4 | BlockL1-4A4
BlockL1-4A6;Troubles auto-inflammatoires;L2;N4;FALSE;N4 | BlockL1-4A6
BlockL1-4A8;Affections allergiques ou d'hypersensibilité;L2;N4;FALSE;N4 | BlockL1-4A8
BlockL1-4B0;Troubles du système immunitaire intéressant la lignée blanche;L2;N4;FALSE;N4 | BlockL1-4B0
BlockL1-4B2;Certains troubles avec atteinte du système immunitaire;L2;N4;FALSE;N4 | BlockL1-4B2
BlockL1-5A0;Maladies endocriniennes;L2;N5;FALSE;N5 | BlockL1-5A0
BlockL1-5B5;Troubles nutritionnels;L2;N5;FALSE;N5 | BlockL1-5B5
BlockL1-5C5;Troubles métaboliques;L2;N5;FALSE;N5 | BlockL1-5C5
BlockL1-5D4;Affections endocriniennes ou métaboliques après un acte à visée diagnostique|ou thérapeutique;L2;N5;FALSE;N5 | BlockL1-5D4
BlockL1-6A0;Troubles neurodéveloppementaux;L2;N6;FALSE;N6 | BlockL1-6A0
BlockL1-6A2;Schizophrénie ou autres troubles psychotiques primaires;L2;N6;FALSE;N6 | BlockL1-6A2
BlockL1-6A4;Catatonie;L2;N6;FALSE;N6 | BlockL1-6A4
BlockL1-6A6;Troubles de l'humeur;L2;N6;FALSE;N6 | BlockL1-6A6
BlockL1-6B0;Troubles anxieux ou liés à la peur;L2;N6;FALSE;N6 | BlockL1-6B0
BlockL1-6B2;Troubles obsessionnels compulsifs ou apparentés;L2;N6;FALSE;N6 | BlockL1-6B2
BlockL1-6B4;Troubles spécifiquement associés au stress;L2;N6;FALSE;N6 | BlockL1-6B4
BlockL1-6B6;Troubles dissociatifs;L2;N6;FALSE;N6 | BlockL1-6B6
BlockL1-6B8;Troubles de l'alimentation ou de la nutrition;L2;N6;FALSE;N6 | BlockL1-6B8
BlockL1-6C0;Troubles de l'élimination;L2;N6;FALSE;N6 | BlockL1-6C0
BlockL1-6C2;Troubles de détresse physique et de l’expérience corporelle;L2;N6;FALSE;N6 | BlockL1-6C2
BlockL1-6C4;Troubles dus à l'utilisation de substances ou à des conduites addictives;L2;N6;FALSE;N6 | BlockL1-6C4
BlockL1-6C7;Troubles du contrôle des impulsions;L2;N6;FALSE;N6 | BlockL1-6C7
BlockL1-6C9;Comportement perturbateur ou troubles dissociaux;L2;N6;FALSE;N6 | BlockL1-6C9
BlockL1-6D1;Troubles de la personnalité et caractéristiques apparentées;L2;N6;FALSE;N6 | BlockL1-6D1
BlockL1-6D3;Troubles paraphiliques;L2;N6;FALSE;N6 | BlockL1-6D3
BlockL1-6D5;Troubles factices;L2;N6;FALSE;N6 | BlockL1-6D5
BlockL1-6D7;Troubles neurocognitifs;L2;N6;FALSE;N6 | BlockL1-6D7
BlockL1-6E2;Troubles mentaux ou du comportement associés à la grossesse, à l'accouchement ou à la puerpéralité;L2;N6;FALSE;N6 | BlockL1-6E2
N6-20;Facteurs psychologiques ou comportementaux agissant sur des troubles ou des maladies classés ailleurs;L2;N6;FALSE;N6 | N6-20
BlockL1-6E6;Syndromes mentaux ou comportementaux secondaires associés à des troubles ou à des maladies classés ailleurs;L2;N6;FALSE;N6 | BlockL1-6E6
N6-22;Autres troubles mentaux, comportementaux ou neurodéveloppementaux précisés;L2;N6;TRUE;N6 | N6-22
N6-23;Troubles mentaux, comportementaux ou neurodéveloppementaux, sans précision;L2;N6;TRUE;N6 | N6-23
BlockL1-7A0;Insomnie;L2;N7;FALSE;N7 | BlockL1-7A0
BlockL1-7A2;Hypersomnies;L2;N7;FALSE;N7 | BlockL1-7A2
BlockL1-7A4;Troubles respiratoires liés au sommeil;L2;N7;FALSE;N7 | BlockL1-7A4
BlockL1-7A6;Troubles du rythme circadien veille-sommeil;L2;N7;FALSE;N7 | BlockL1-7A6
BlockL1-7A8;Troubles du mouvement liés au sommeil;L2;N7;FALSE;N7 | BlockL1-7A8
BlockL1-7B0;Parasomnies;L2;N7;FALSE;N7 | BlockL1-7B0
N7-7;Autres troubles précisés du cycle veille-sommeil;L2;N7;TRUE;N7 | N7-7
N7-8;Troubles du cycle veille-sommeil, sans précision;L2;N7;TRUE;N7 | N7-8
BlockL1-8A0;Troubles du mouvement;L2;N8;FALSE;N8 | BlockL1-8A0
BlockL1-8A2;Troubles avec déficience neurocognitive comme caractéristique majeure;L2;N8;FALSE;N8 | BlockL1-8A2
BlockL1-8A4;Sclérose en plaques ou autres troubles de la substance blanche;L2;N8;FALSE;N8 | BlockL1-8A4
BlockL1-8A6;Épilepsie ou crises d'épilepsie;L2;N8;FALSE;N8 | BlockL1-8A6
BlockL1-8A8;Céphalées;L2;N8;FALSE;N8 | BlockL1-8A8
BlockL1-8B0;Maladies cérébrovasculaires;L2;N8;FALSE;N8 | BlockL1-8B0
BlockL1-8B4;Affections non traumatiques de la moelle épinière;L2;N8;FALSE;N8 | BlockL1-8B4
BlockL1-8B6;Maladies du neurone moteur ou troubles apparentés;L2;N8;FALSE;N8 | BlockL1-8B6
BlockL1-8B8;Affections des nerfs, des racines ou des plexus;L2;N8;FALSE;N8 | BlockL1-8B8
BlockL1-8C6;Maladies de la jonction neuromusculaire ou du muscle;L2;N8;FALSE;N8 | BlockL1-8C6
BlockL1-8D2;Paralysie cérébrale;L2;N8;FALSE;N8 | BlockL1-8D2
BlockL1-8D4;Troubles nutritionnels ou toxiques du système nerveux;L2;N8;FALSE;N8 | BlockL1-8D4
BlockL1-8D6;Troubles de la pression ou du débit du liquide cérébrospinal;L2;N8;FALSE;N8 | BlockL1-8D6
BlockL1-8D8;Affections du système nerveux autonome;L2;N8;FALSE;N8 | BlockL1-8D8
BlockL1-8E0;Maladies humaines à prions;L2;N8;FALSE;N8 | BlockL1-8E0
BlockL1-8E2;Troubles de la conscience;L2;N8;FALSE;N8 | BlockL1-8E2
BlockL1-8E4;Certaines affections du système nerveux;L2;N8;FALSE;N8 | BlockL1-8E4
BlockL1-8E6;Affections du système nerveux après un acte à visée diagnostique ou thérapeutique;L2;N8;FALSE;N8 | BlockL1-8E6
N8-19;Autres maladies précisées du système nerveux;L2;N8;TRUE;N8 | N8-19
N8-20;Maladies du système nerveux, sans précision;L2;N8;TRUE;N8 | N8-20
BlockL1-9A0;Affections des annexes de l'œil ou de l'orbite oculaire;L2;N9;FALSE;N9 | BlockL1-9A0
BlockL1-9A6;Affections du globe oculaire - segment antérieur;L2;N9;FALSE;N9 | BlockL1-9A6
BlockL1-9A6;#REF!;L2;N9;FALSE;N9 | BlockL1-9A6
BlockL1-9B5;Affections du globe oculaire - segment postérieur;L2;N9;FALSE;N9 | BlockL1-9B5
BlockL1-9B5;#REF!;L2;N9;FALSE;N9 | BlockL1-9B5
BlockL1-9C2;Affections du globe oculaire affectant les segments antérieur et postérieur;L2;N9;FALSE;N9 | BlockL1-9C2
BlockL1-9C4;Affections des voies ou des centres optiques;L2;N9;FALSE;N9 | BlockL1-9C4
BlockL1-9C6;Glaucome ou glaucome limite;L2;N9;FALSE;N9 | BlockL1-9C6
BlockL1-9C8;Strabisme ou troubles de la motilité oculaire;L2;N9;FALSE;N9 | BlockL1-9C8
BlockL1-9D0;Troubles de la réfraction ou de l'accommodation;L2;N9;FALSE;N9 | BlockL1-9D0
BlockL1-9D2;Affections de l'œil ou des annexes de l'œil après un acte à visée diagnostique|ou thérapeutique;L2;N9;FALSE;N9 | BlockL1-9D2
BlockL1-9D4;Déficience des fonctions visuelles;L2;N9;FALSE;N9 | BlockL1-9D4
BlockL1-9D9;Déficience visuelle;L2;N9;FALSE;N9 | BlockL1-9D9
N9-14;Autres maladies précisées de l'appareil visuel;L2;N9;TRUE;N9 | N9-14
N9-15;Maladies de l'appareil visuel sans précision;L2;N9;TRUE;N9 | N9-15
BlockL1-AA0;Maladies de l'oreille externe;L2;N10;FALSE;N10 | BlockL1-AA0
BlockL1-AA8;Maladies de l'oreille moyenne ou de la mastoïde;L2;N10;FALSE;N10 | BlockL1-AA8
BlockL1-AB3;Maladies de l'oreille interne;L2;N10;FALSE;N10 | BlockL1-AB3
BlockL1-AB5;Troubles de l'audition;L2;N10;FALSE;N10 | BlockL1-AB5
BlockL1-AB7;Troubles de l'oreille, non classés ailleurs;L2;N10;FALSE;N10 | BlockL1-AB7
BlockL1-AB9;Affections de l'oreille ou de l'apophyse mastoïde après un acte à visée diagnostique ou thérapeutique;L2;N10;FALSE;N10 | BlockL1-AB9
N10-7;Autres maladies de l'oreille ou de l'apophyse mastoïde;L2;N10;TRUE;N10 | N10-7
N10-8;Maladies de l'oreille ou de l'apophyse mastoïde, sans précision;L2;N10;TRUE;N10 | N10-8
BlockL1-BA0;Maladies hypertensives;L2;N11;FALSE;N11 | BlockL1-BA0
BlockL1-BA2;Hypotension;L2;N11;FALSE;N11 | BlockL1-BA2
BlockL1-BA4;Cardiopathies ischémiques;L2;N11;FALSE;N11 | BlockL1-BA4
BlockL1-BA8;Maladies de l'artère coronaire;L2;N11;FALSE;N11 | BlockL1-BA8
BlockL1-BB0;Cardiopathie pulmonaire ou maladies de la circulation pulmonaire;L2;N11;FALSE;N11 | BlockL1-BB0
BlockL1-BB2;Péricardite;L2;N11;FALSE;N11 | BlockL1-BB2
BlockL1-BB4;Endocardite aigüe ou subaigüe;L2;N11;FALSE;N11 | BlockL1-BB4
BlockL1-BB6;Maladies des valves cardiaques;L2;N11;FALSE;N11 | BlockL1-BB6
N11-9;Cardiopathies rhumatismales chroniques, non classées ailleurs;L2;N11;FALSE;N11 | N11-9
BlockL1-BC4;Maladies du myocarde ou des cavités cardiaques;L2;N11;FALSE;N11 | BlockL1-BC4
